uid,bdate,sex,city
480229861,26.1,2,4597
454633138,,2,
395890855,,2,158
497009711,,2,
429342447,28.12,2,2
458523868,18.8.1986,2,95
146523395,,2,
171223156,,2,5098
504927962,,2,2
507909876,20.10.1999,2,0
497976345,14.4,2,1914764
2343784,11.6.1991,2,2
487004087,,1,
234364672,,2,
307337192,,2,
508351114,18.11.1994,1,0
504149368,24.4.1999,2,95
392079424,22.6.2001,2,0
146505637,,2,
508330099,,1,
463920740,,1,0
487125530,,2,144
492066789,2.5.1984,2,0
208824259,11.11.1988,2,2
368024423,27.5.1989,1,97
264581825,,1,
325737775,,2,5331
343658043,,1,
487137742,19.6.1998,2,1
259741001,,2,
261695673,,2,
444728826,,1,
353147857,,2,
314615935,1.7.2002,2,0
507974531,1.1.1990,2,99
442055797,7.9.1975,2,0
414327758,,2,2
408606159,,1,
508244014,1.8.1987,1,7159
739650,,1,
508152398,10.11.1993,1,0
508153257,4.4,2,0
508231939,1.10.1989,1,0
438594727,,1,
14527014,4.7.1989,2,1
442560467,1.2.2003,2,0
2826988,,1,0
350052233,1.5.1998,1,140
277985843,28.11,1,1903333
125973118,,2,
295106687,3.1,2,1
469720169,,1,
298952059,,1,
364851954,,1,
289528010,15.6.1980,2,60
480456408,5.10,1,1
166768254,,1,56
508155381,27.11.2000,2,1
468910993,6.11,1,5062
460393273,31.12,1,1904965
410340418,,2,
507969809,,2,
507491652,13.10.1995,1,314
146306119,8.9.1983,2,87
76742643,,2,
672026,,1,
508010257,,1,
508069182,,1,0
269774578,,1,119
499326390,,1,
94562873,5.11,2,0
36618840,,2,151
44754892,6.12.1987,1,87
460873336,8.12,1,0
503640794,,1,
143368329,9.6.1990,2,134
477330045,1.1,2,0
420967097,,1,
195906145,19.10,1,122
502975283,31.5,1,108
446270607,,2,119
507954375,29.8.1992,1,0
211526057,2.10.1978,1,1151584
12810729,,2,
308713549,,1,97
21047349,29.12,1,2367
364541477,,1,0
142890824,7.7,2,1
426999466,31.7,1,1033
381943620,,2,37
308269479,,1,
10155682,,1,
507239755,2.4.1998,1,10
507599705,10.11.1989,2,10
273612576,,1,
102020618,,1,
333491852,29.5.1998,1,119
507304481,10.4.1995,2,64
206313283,,2,
507867603,,2,135
424443682,,2,0
251216827,,1,
434485095,,1,0
413493570,,1,762
167680637,,1,
438577057,10.3.1987,1,0
505429561,,2,110
278780239,,2,
216021377,,1,0
472396989,,2,60
491654483,9.10.1999,1,136
475663999,13.12.1998,2,124
451032283,,2,2
163904970,,1,
48556300,,2,
118689128,,1,
260611718,2.10.1988,2,3260
507805892,5.2,1,2
323091474,,1,
155326634,,1,
502285580,,2,4590
492003210,29.6.1999,1,264
381020914,,1,
506795600,7.7.2004,1,0
506755694,13.6.1988,2,0
458002297,15.7.1996,2,0
416548069,22.1.1979,2,0
507743089,1.2.2004,1,0
377051437,31.7.2000,2,0
475185107,26.2.1990,1,0
347885761,21.11.1981,2,158
206652105,,2,
428423931,,2,0
418419311,,1,
43212342,18.11,1,1
206583199,5.6,1,0
457115478,31.8.1990,1,0
308048591,31.10.1993,1,0
292155601,27.4.1979,1,314
396162903,,2,
335895234,,1,
474419950,,2,
498661477,3.3.1986,2,0
222003011,,2,
501983596,,2,
507588681,,2,
232571302,,2,
207448563,27.7.1998,1,1
507643552,5.2.2004,2,0
507640087,,2,
459680480,23.2,2,123
335499482,,1,
482736028,1.6.1995,2,0
507604564,1.1.1991,2,60
152533438,11.6.1999,1,131
62319905,13.10,2,2
507559142,16.11,1,0
218753433,,1,
505026010,17.11,2,109
237583577,6.7.1990,1,1
431035306,11.10.1947,2,0
506706734,30.4.1998,1,5586
501940178,,2,169
155560434,6.6.1986,1,1928594
379663132,,2,
111441316,,1,
465962569,19.3.1978,1,0
145569841,,2,
475913397,,1,
178593327,,1,0
503060414,,1,
6129850,,2,106
221452098,,1,
134657784,,1,
308837641,,2,
35437570,,1,
507267480,21.8.1986,2,104
486597633,18.3.1979,2,8
495110549,,2,0
479657891,10.9,2,57
502252853,6.7.1980,2,0
497597349,,2,
304827071,7.12.1997,1,1
440116902,18.9.1991,2,0
495665063,21.8.1995,1,4142
391797973,,1,
419213893,25.8.1989,1,55
459975834,5.6.1996,1,0
467163424,21.5.1986,2,66
507345413,1.2.1988,2,0
137941034,,1,
500116089,18.2,1,0
153039381,1.11,2,1126897
411198715,24.9.1988,2,39
176544249,,1,
198445939,,2,0
315175486,15.7.1987,2,177
466027285,,2,158
486687210,16.9.1980,1,1
455943186,8.11,1,1
1447816,,1,
14760551,,1,
93501304,,1,
148120442,,2,
503196113,29.4,1,0
491653250,28.8.1990,2,264
29813679,15.8.1995,1,1581
470460636,28.7.1989,2,140
506100311,26.3.1997,1,2001
78795565,,1,
325499416,,1,
505945513,18.5.1989,2,899
443189867,,1,110
120840241,,2,
218981051,6.3.1989,1,121
447056749,3.11,1,0
81155996,,2,
471748829,6.5.1997,1,244
309890126,,2,
112909049,,1,
468199060,17.10.2000,2,1050736
506431106,4.9.1986,1,158
468048358,17.4.1987,2,1
174826014,6.7,2,5034024
487277546,,1,
484335203,,1,104
506173566,29.5.1988,2,60
351311611,13.10.1977,2,223
491230891,,2,
62854384,3.2.1996,2,317
241738397,,1,
483743678,,1,0
104955147,,1,
365244768,,2,0
90385675,,1,
352000559,24.1.1986,1,2225
60937065,,1,
109881464,,2,
507090213,22.7.1998,2,0
88378771,,1,158
154272595,,1,
7982327,,2,
507070549,1.1.1980,1,0
494603660,16.12.1987,2,2001
465606575,4.3.1982,2,2
450973212,14.12,2,528
474682439,,2,49
175839366,,2,
505036446,22.3.1995,2,650
485275262,21.8.1997,2,0
495121181,1.4.1993,2,691
387566810,,2,
499113222,,2,1
506576607,4.12.1988,2,1
506998416,6.6.1990,2,0
204012605,,1,
503344349,,2,
356572099,18.9,2,169
504087021,,2,
506970360,21.3.1983,1,125
499101726,22.6.1992,2,97
506982333,22.1,1,5459
446305903,17.11.1999,1,49
454176574,11.10.1995,2,1767
506929936,13.6.1984,1,73
497256233,11.9.1999,2,0
381792624,6.4.1983,1,0
489104922,,2,293
506972160,1.2.1973,2,0
252444467,20.2,2,0
454538871,,1,
431595397,16.8,2,21558
495133307,25.1.1980,2,11145
506926347,22.6.1997,2,0
111066604,6.7,1,60
237682926,,2,
247525999,7.9,2,0
506928351,,1,
26120283,13.3,1,0
148892776,10.5.1997,1,124
84464863,15.3,1,60
156818813,,1,
379988940,,1,60
40732798,,1,
311672499,7.1.1981,1,60
242974545,3.5,1,60
319622624,,1,2292
503199540,12.5.1985,1,10
468063857,15.10,1,139
384036629,,2,
476148072,12.3.2000,2,1036
506819283,,2,110
377377566,,2,
237040739,,1,0
79605251,,1,
239502435,,2,
498842610,,2,88
99803331,,1,
409575298,27.6.2000,1,122
506654761,1.1.1979,2,0
432877779,26.12.1980,2,0
428508870,,1,0
306905399,8.8.1987,2,1
497108344,17.10.1910,1,1
4028020,,1,1
19711130,11.1,1,354
442350165,1.5,1,2
420680507,14.5,1,0
484788872,14.1.1991,2,0
495138291,30.3,2,295
476657373,24.12.1977,1,0
186497530,,1,
440089528,2.6.1995,2,26
150612469,13.9,2,2
483155433,3.1.1978,2,0
506548028,1.3.1997,1,292
496986814,5.8.1987,2,15216
481110280,15.10.2000,1,0
475508377,8.10.1992,1,0
383152053,17.11.2002,1,3193
489704591,21.1.1991,1,2316
404388136,30.4,1,99
327156990,,2,6303
244415674,7.3.1986,1,2
296569328,,1,
83649560,21.8,1,0
429637142,,2,
145343712,,2,
703519,22.3.1988,2,1
135299250,5.6.1981,2,124
233264774,,1,
386610367,20.3,2,62
490304004,,2,0
82582120,,1,138
376481296,14.12.1960,1,49
103422198,,1,
411886556,20.12.1999,2,0
472326159,,1,
426636408,,2,
241748116,,2,1033
325220585,,2,
422518371,1.1.1945,1,19
151859970,,1,
374371921,,2,
449935969,19.11,2,378
496897093,6.2.1990,2,0
261537450,29.10,1,801
494725822,,2,158
397638531,,2,0
424290240,3.8,2,99
219262864,,2,
311604819,13.2.1990,2,3517
153928488,29.6,1,133
367439829,,1,
503840047,28.10.1980,2,0
451888748,23.2,2,0
59777504,26.10,1,99
276439306,18.1.1989,2,95
467159064,17.10,1,621
300867588,,1,
279067846,,2,
352082430,,1,
378742277,,1,
380175925,,2,6225
298963685,17.4,1,2
355486389,25.9.1975,1,668
390802717,,1,0
140633646,,1,
506436130,,1,
506073258,13.5.1988,1,993
31375540,,1,
155887322,6.6,1,161
471392137,,1,
243818042,22.5.1989,1,70
280351387,,2,
368699427,4.2,1,161
506244419,25.3.1974,1,1515584
478504341,,2,0
180528507,28.9,1,116
358353557,,1,
52172418,,2,0
502652407,10.12.1985,1,1803702
489427543,1.4,1,0
68623205,,1,
341208137,,1,153
506200147,15.12.1994,1,1
451349672,18.9.1992,1,650
263941753,,2,
504705822,1.9.1992,2,110
506322082,9.4.1998,1,0
96843143,,1,
466244134,,1,
500412037,7.7.1999,1,0
159610202,28.12,1,1
308092955,,2,
344184070,24.6,2,0
219504142,,1,
345484263,,1,586
488661259,,1,1932227
506135297,20.7.1967,2,0
471448332,9.2,2,1
134631180,,1,
503117869,10.2.1980,2,72
91611129,,1,0
490041820,,1,
502064995,29.3.1970,1,95
490041399,,1,
503607307,31.1.1993,1,141
472396796,,2,
464483034,23.9,1,4919
500929145,21.4.1987,2,64
196768252,17.7,2,1
506126312,11.7.1994,1,57
480215624,20.3,1,0
441508459,,2,
498597516,10.2.1982,1,0
261971522,5.7,2,0
391725406,,2,
479248097,1.2.1990,1,121
137815945,26.6.1996,1,99
133233522,13.5,1,169
506062158,27.10.1987,2,314
392037579,,2,
207633335,,2,
480213098,,2,0
446220490,19.7,1,75
184561269,19.4,1,110
327502662,27.4.1984,2,6492
462294073,,2,
1852726,,1,2
1812410,,1,1
381578950,,2,
405742590,29.11,2,71
205992358,,1,
506032324,,1,
350823608,,1,119
384123498,1.3,1,0
358265924,2.7.1993,2,51
254205262,,1,
205249921,,2,99
183487899,,2,5887
260712341,,2,
414704824,,1,1106948
286116229,,2,2
75567395,,1,
430697043,,1,0
360798884,,1,
76943306,,1,
3613565,5.4.1997,1,1
505804525,8.6.1985,2,2
153100314,,2,82
505883882,22.6.1988,2,0
111425634,,2,
505435560,15.9,1,1
288219599,,1,
310044317,20.5.1988,1,158
505903158,2.8.1999,1,1006038
257376681,18.10,1,0
505255570,,1,
238191744,17.12.1990,2,2734
505735806,,2,2040
415664673,,2,95
91159543,,1,
74009095,3.6.1976,1,60
338438499,30.11.1998,2,0
501917748,9.2.1980,2,0
360109047,11.1,1,1
478108892,28.2.1987,1,0
384080025,,1,
436581067,16.7.1990,2,151
505815997,15.12.1992,2,8763
187799865,27.1.1994,1,1
315813189,22.6,1,18075
503714741,24.5.1983,2,314
456205567,13.11.1996,2,0
168471952,,1,
41167078,14.8.1992,1,4644
465433038,4.1.1907,2,0
136232931,,1,
469531505,6.5.2004,1,1
215613837,20.7,2,4021
2823326,,2,0
505717411,20.7.1989,1,0
436531519,,2,
469802541,4.10.1991,2,2
24578531,,1,
107087237,13.5,1,135
456550409,7.12,2,1
470778488,17.3,1,2
430107977,30.4.1979,2,29
478075790,,1,
253513721,,1,
187333850,,1,
4546809,,1,
301581438,13.6,2,205
470097329,,2,0
505578973,16.6.1997,2,0
100126075,,1,
278250589,,1,
162659901,,2,
505606182,24.4,2,133
503147804,,2,
301388655,13.10.1995,1,73
446183905,,1,
497614662,1.2.2003,1,49
417754025,,1,
304450824,,1,
501682845,5.6.1985,1,0
5948538,,2,
505575804,,1,
169440049,,2,
505560550,28.9.1983,1,2
505518631,4.9.1985,2,0
6453801,,1,
144622899,29.8.1997,1,73
81898475,,2,
421461390,,1,0
44164438,30.5.1986,1,3029
415434548,,2,0
121740405,,2,
444193961,,1,82
345977349,24.5,2,104
324721728,,1,0
446279057,14.8.1974,2,2
380612504,,1,72
473299113,24.3.1984,1,0
480077831,10.4.1988,1,0
381268598,,2,
445623594,,1,0
505463302,2.7.1992,2,0
439232552,,2,627
505421452,14.10.1990,2,140
504192998,19.9.1991,2,2
263734921,,2,125
481364499,17.9.1994,2,1
504122107,,1,
38080746,,2,
296844218,18.6.1987,1,0
481887609,23.9.1981,2,72
236366133,,1,
181553770,,1,
93160902,11.2.1980,1,2
35625173,22.4.1919,2,114
13108564,23.9,1,49
273419176,,1,
477934032,29.7.1991,1,28
141618692,29.12.1988,2,99
347778046,31.1.1993,2,1964189
501414138,28.2.1990,2,0
465730514,31.3.1999,1,112
437765796,,1,
204286706,28.6.1988,2,1023120
496597062,11.6.1996,2,161
216822588,,1,
339336634,14.4.1995,2,55
305771954,,2,119
454826520,19.10.1907,1,0
426765766,,1,0
505225008,31.12.1994,2,314
468885692,,2,60
405176479,,2,2
501125106,9.2.1994,1,119
97143647,,2,0
384940520,,2,2
503799153,3.7.1985,1,72
260340,1.3.1988,2,1
356047487,,2,
488705058,29.4.1993,2,1
502971304,17.1.1990,2,37
505156820,15.10.1994,2,49
418759705,,2,
424561696,4.7.1987,2,108
206758465,,2,1312
309137499,17.5.1998,2,25
87437275,,2,
505131217,12.8.1989,2,95
396383425,,1,99
440428853,13.11,1,1122677
505106488,,2,57
499646874,,1,
196363739,27.9,1,64
309421346,,2,
438451878,,1,
160156529,26.1,2,2
398318439,,2,
367251037,,1,161
70688602,,2,
384513104,,2,0
487041281,5.11.1999,2,0
457782098,24.6.1990,1,0
504343077,29.6,2,650
502158841,25.3.1985,1,628
499403402,5.9.1988,2,60
482941189,7.5.1974,2,1
425200212,,1,1
401384534,,2,
488325451,,1,
255831504,,2,
461822131,8.10,2,46
490203850,9.9.1989,1,151
254941493,8.12.1990,2,5099
454853818,,1,0
220300361,,1,72
501405888,1.2.1983,1,0
424605968,2.11.1981,2,87
282927591,21.12.1992,1,2211
228747721,17.11.1988,1,744
311334872,,2,
407973926,,2,0
101295920,10.8,2,1
722767,,1,
283940,,1,1
455095297,,1,
458898425,,2,
419904090,,2,66
420482913,24.11.1995,2,0
162623197,,2,
504815520,2.4.1979,1,1
156002800,19.4.1990,2,818
1858826,21.5,1,0
498288295,,1,0
503946795,12.9.1995,1,0
415183770,,1,0
500775600,,2,0
253302050,25.12.1990,1,148
504744296,5.2.1974,1,282
63836679,,1,
357148938,20.9.1988,1,3249
483672724,5.2,1,2
279825125,,2,
484768664,19.3.2002,2,0
504299166,1.10.1989,1,0
504681130,,1,
355361094,,2,
218393995,3.7,1,57
491424942,17.2.2004,1,0
476871381,,1,146
148921492,17.7.1990,1,1901378
496923469,,2,51
425589521,24.4.1997,1,18
237918050,,2,
489533164,14.2.1976,1,0
391116721,,1,
276047745,30.1.2001,2,85
13848292,7.5.1985,2,617
445170318,31.10.1993,2,3296
504221269,1.2,1,0
504479170,2.8.1966,1,10
362031122,,2,
453550524,,1,
25740860,4.11.1988,1,147
471699612,,1,119
157382419,,1,
458418736,,2,158
227622955,16.1,2,1
28563037,25.7,2,0
451293628,,2,
40546019,6.3.1970,1,1
248152658,,2,
150262189,,2,
382598085,28.6.1989,1,72
309817657,,2,
504107774,3.12.1992,2,37
237884893,,1,
241803251,1.12.1988,2,1
487043616,,2,
476757074,,2,89
349863475,10.3.1977,1,49
232714040,,2,
502450163,6.9.1994,1,0
16832684,,1,
337038041,17.2,2,0
495343563,,2,1009964
504181768,26.6.1996,1,1
57352687,2.6.1993,1,314
83253087,,1,
445641218,19.5.1992,2,0
474797932,,1,
324609765,,1,
43448158,7.8,1,650
220327017,5.7.1989,1,2
503444014,3.4.1991,1,1
485515043,,2,
372044331,,1,
367275443,27.6,2,0
385792952,23.6.1990,2,0
173947629,12.3.2004,1,0
375370366,,2,
188252816,,2,
490675132,3.4,2,650
367304780,2.1,1,1
503981403,,2,
35130721,,1,
442112396,29.3.1999,1,0
191342815,3.8.1983,2,1
170595896,,2,
291514029,10.11.1996,1,472
169205208,23.8.1999,1,95
477156693,,2,
275658000,,2,
61878545,,2,1
226938635,,1,158
387579700,,1,10
415727872,16.11.1984,2,0
450341409,11.12,2,0
476606558,,1,
244061271,,2,
98155235,,2,5489
427258450,,2,0
121986717,5.2,2,73
493633644,10.3.1991,2,2
420441269,26.12.1981,1,110
502120421,,2,
383501671,15.3,1,0
151933512,,1,
371589452,,1,
165872232,,1,
301953627,7.9,1,0
410848551,,1,
226069735,1.1.1986,1,2
503556903,,2,
131087400,26.8.1993,1,455
456144369,6.10.1982,2,0
7878266,,1,
413493086,29.1.1988,1,3637
279625458,,2,
456613971,,1,
19208139,,1,
503528731,5.9.1989,1,0
466337158,,2,
245844790,,1,
463178887,23.4.1993,1,528
478725008,,1,10
63358355,22.12,1,55
387626674,,2,
374842592,2.9.1996,1,110
503813027,2.8,2,0
499664162,,2,82
484035295,28.8.1990,1,72
16440177,,1,0
461704790,,1,0
430964571,,1,
503454671,,1,
386177375,,2,
102769069,23.9.1972,1,0
384630941,,2,
472221732,7.6,1,524
370838761,2.8.1985,2,0
467856969,6.5,2,0
473209389,,1,
503234832,1.1.1987,2,0
221311276,,2,
21425196,,1,
500004977,,1,0
422048004,5.1.1972,2,143
430002148,17.9.1917,1,151
430505053,13.11.1986,1,95
430375646,27.11.1982,1,95
430375503,1.3.1985,1,95
430375234,13.6.1990,1,95
430252105,27.11.1978,1,151
430251959,26.5.1991,1,151
430251794,13.2.1993,1,151
430062729,12.3.1993,1,151
430062593,4.10.1978,1,14210
430062453,13.11.1989,1,151
430001931,1.1.1991,1,151
430001790,13.5.1984,1,151
429719252,9.1.1993,1,151
429718831,16.6.1978,1,0
429718646,13.12.1986,1,151
429511746,19.10.1991,1,0
429511623,28.5.1985,1,151
429511515,5.11.1991,1,151
429366425,13.12.1986,1,2856
429366242,1.4.1991,1,151
429366108,13.6.1985,1,151
428887726,6.2.1987,1,151
428887260,5.11.1986,1,151
351739623,6.6.1984,1,123
351737828,7.6.1986,1,151
371337773,3.5.1986,1,60
351526602,7.8.1990,1,110
351513094,10.6.1983,1,151
350991030,5.5.1983,1,104
350990057,5.9.1986,1,95
350917000,5.5.1980,2,39
350792159,5.6.1985,1,104
24423799,19.4,1,95
232878976,,1,
208999610,8.8,2,158
206301250,18.6.1986,1,123
190452728,17.9.1987,1,123
230568570,24.8,1,123
103079171,4.5,1,0
232652842,3.10,2,123
230465191,18.8.1987,2,123
230271800,9.11.1986,1,123
233626496,10.10.1990,1,123
233620208,4.7,1,123
233597485,8.7.1990,2,123
233593599,3.1.1995,1,123
233708990,,2,
233905157,12.10.1989,1,123
234120750,7.12.1988,1,123
234673292,9.11.1990,1,123
254368019,4.7,1,123
255913237,6.7.1990,1,123
245828565,9.10.1992,1,73
414523746,24.2.1991,1,73
233453960,7.7.1988,1,73
233143186,4.3.1984,1,123
233141685,9.11.1983,2,123
233064533,2.12,1,123
232733555,4.8,1,123
232685078,7.11.1992,1,123
232491622,3.5,2,123
232467996,7.8,1,123
232434940,5.8.1996,2,123
232347825,5.8.1984,1,123
271638225,,2,123
229120103,1.6.1987,1,123
178767563,16.2.1990,1,123
228478997,3.7.1989,2,123
132700876,,1,
228311731,2.4.1989,2,123
131737552,19.8,1,125
226365781,3.8,1,123
500985495,29.12.2001,1,0
90661766,,1,
472729079,24.11.1946,2,99
503659839,17.3.1981,2,650
269058461,,2,
297085303,,2,
397589188,,2,0
380362022,,2,
474672919,25.2.1981,1,87
215866795,,2,
58333491,,2,
486099566,12.6.1994,2,95
320381508,,2,110
443901885,,1,
69246245,,2,
143322827,,1,
487678900,,1,
226963948,,1,147
142314516,,1,
177391514,,2,627
462680560,5.4,1,0
309173271,8.12.1994,1,149
3777549,21.8.1982,1,123
184582829,4.3.1988,2,794
302148720,,1,
476492590,31.12.1989,2,0
222413931,4.10.1989,1,392
187430194,8.9.1991,1,1112
222745877,17.7,2,7556
502471824,5.6.1984,2,110
138745498,9.2,2,110
485515388,,2,650
420148081,10.6,2,158
466126237,4.8.1992,2,160
471798344,29.10.1992,2,158
471797585,9.6.1997,2,158
473174833,2.10.1989,1,158
473173015,4.8.1985,1,158
473334312,5.5.1987,1,158
473171498,4.7.1984,1,1268
473336388,5.4.1988,1,794
473335046,4.5.1995,1,158
472828523,4.5.1988,1,158
472831105,5.5.1998,1,7159
471783613,16.9.1989,1,1268
471796746,21.12.1981,1,158
471779513,16.9.1986,1,158
471776618,16.4.2000,1,158
471770942,4.10.1989,1,292
429725581,1.6,2,650
468089103,16.9.1989,1,26
468094763,5.8.1986,1,12126
468977192,17.9.1983,1,158
468982200,16.8.1989,1,158
468988812,13.8.1993,1,314
502198557,,2,
468992871,8.8,1,158
236583056,,1,1
266190077,4.2,2,1156268
501443492,19.4,2,1714646
313075180,18.9.1983,1,172
438089691,,2,
24193143,,2,
494212175,,1,
35015141,,1,
181959558,,1,
478604547,,1,
406724964,,1,
72417454,18.9.1987,2,64
436048014,24.2,1,0
333767327,,2,
200209780,28.2.1984,2,10
477795670,30.4.1962,2,1
301184535,,2,
484911457,15.6.1990,1,99
142669264,21.1.1982,1,261
276291872,26.9,1,60
326890673,14.12.1991,2,60
29625481,,1,
468995498,3.9.1984,1,158
470574082,2.8.1986,1,158
470576573,16.8.1985,1,158
456970726,8.3.1965,1,314
457141524,15.11,1,314
457143427,6.6,2,26
457357355,22.8,2,156
359121983,,2,
457358637,19.8,1,158
416490031,,2,
457357682,4.5.1991,2,158
458014339,4.9,1,26
458015527,7.7.1983,2,26
438588,12.12.1984,1,1
323537033,,1,
458228395,19.1,1,26
458014657,21.6,1,26
471656569,,2,
458231430,25.12,1,26
458232131,21.6.1986,1,26
503141929,,2,
114433898,,2,
368416582,14.3.1996,1,60
366501154,7.11.1990,1,60
281429598,14.12.1994,1,60
268706119,27.2.1993,1,0
288864606,23.6.1994,1,60
341294897,27.3.1990,1,60
332372252,25.5.1980,1,60
341548846,,2,60
269362391,27.11.1993,1,60
303223345,5.4.1992,1,60
274443503,31.3.1993,1,60
384732614,16.3.1996,1,60
154338924,11.2.1988,2,2
150824249,,1,
60219815,,1,22
503212659,2.2.1990,1,122
204117736,2.11,1,147
503268942,9.2.1981,2,7556
426793055,,1,1
503360382,,1,3035218
501025977,19.8,2,1144766
116964425,,1,158
238087767,8.2.1977,1,158
244242337,20.2.1982,1,158
10819793,,1,
184549293,26.1.1979,1,158
175038499,,1,
190076370,3.11,1,158
122234873,,2,158
169030850,,2,5331
503312229,12.6,1,0
481931786,,1,
33448570,20.2.1989,2,158
117610591,5.8,1,158
159076127,,1,158
131941680,4.9.1989,2,158
71666417,,1,
223346809,16.11,1,158
221683346,,1,158
218160871,20.2.1989,1,158
5800847,4.10.1987,2,158
60337029,,1,158
181578837,,1,158
132027714,10.10.1992,2,158
205117119,24.8.1997,1,158
171560187,18.2,1,158
199650938,,1,
211736627,15.3,1,158
502484992,,1,
454370393,,2,
474369458,30.8,1,1
6225120,,1,
91088539,,1,
475321042,,1,1
499860752,21.11.1988,1,0
394713181,1.5.1993,1,123
458269573,3.4.1976,2,0
503270733,,1,
8375249,3.10,1,0
334002337,,1,
329855889,,2,1957236
491192911,14.3.1986,2,0
501843438,17.4,2,97
345924484,,2,10761
7286457,,1,
148257062,29.11.1989,1,3255
473192268,,2,
373247078,,2,153
186610121,2.12,2,0
503178954,10.2.1987,2,0
503173396,11.6.1999,2,0
94403571,,1,
503165516,28.2.1981,2,141
401732390,,1,119
414658352,19.12.1997,2,151
325962476,,1,
222668635,15.3.1982,1,1600959
137570572,1.9.1989,1,110
501112581,,2,
495289117,13.4.1973,1,18
168782163,,1,
477275311,,2,3052246
495957780,,1,
391208088,28.6.2002,1,2
141163278,,2,
30524522,26.5,1,1155465
503088962,14.12.1976,1,483
432204320,22.12.1995,2,1142151
503075348,3.2.1989,1,1
